case,system,gold_id,gold,predicted,via,computed
case_05,baseline,t_min_total,holds,unverifiable,span,
case_05,baseline_plus,t_prov,unverifiable,unverifiable,span,
case_05,baseline_plus,t_rows,holds,holds,span,"50,000 rows in the data file"
case_05,baseline_plus,t_pass,violated,violated,span,"passenger_count range 0–9 (values include 9.0, 3 rows)"
case_05,baseline_plus,t_pay,holds,holds,span,"payment_type values are {1,2,3,4}"
case_05,baseline_plus,t_flag,holds,holds,span,"2 unique values: N (49741), Y (259)"
case_05,baseline_plus,t_phantom,violated,violated,span,no driver_id column present in the dataset schema
case_05,baseline_plus,t_fare,violated,violated,span,mean total_amount = $29.17
case_05,baseline_plus,t_dates,violated,violated,span,pickup timestamps range from 2022-10-24 17:37:47 to 2023-01-01 23:19:19
case_05,baseline_plus,t_min_total,holds,holds,span,min total_amount = -351.00
case_06,agent,n_prov,unverifiable,unverifiable,span,
case_06,agent,n_rows,violated,violated,span,row_count=2084
case_06,agent,n_stations,holds,holds,span,10 distinct STATION values
case_06,agent,n_dates,violated,violated,span,"min=2023-01-01, max=2023-12-31, invalid_or_out_of_range=293"
case_06,agent,n_temp,violated,violated,span,"min=-10.0, max=85.0"
case_06,agent,n_prcp,violated,violated,span,"min=0.0, max=99.99"
case_06,agent,n_sentinel,holds,holds,span,"nulls=0, sentinel_999.9_count=5, total_rows=2084"
case_06,baseline,n_prov,unverifiable,unverifiable,span,
case_06,baseline,n_rows,violated,unverifiable,span,
case_06,baseline,n_stations,holds,unverifiable,span,
case_06,baseline,n_dates,violated,unverifiable,span,
case_06,baseline,n_temp,violated,holds,span,"Sampled TEMP values range from 15.3 to 37.0, entirely within the claimed bounds; no value in the provided rows contradicts this range."
case_06,baseline,n_prcp,violated,violated,span,"PRCP = 99.99 on 2023-01-30 for station 1001099999, exceeding the claimed 9.99 upper bound."
case_06,baseline,n_sentinel,holds,unverifiable,span,
case_06,baseline_plus,n_prov,unverifiable,unverifiable,span,
case_06,baseline_plus,n_rows,violated,violated,span,"2,084 rows (STATION/DATE count = 2084)"
case_06,baseline_plus,n_stations,holds,holds,span,"10 unique NAME values / 10 unique STATION ids, all with NO or SV country designators (Jan Mayen, Andoya, Sorstokken, Longyear, Ny Alesund, Hornsund, Karl XII Oya, Edgeoya, Kvitoya, Verlegenhuken)"
case_06,baseline_plus,n_dates,violated,violated,fuzzy,"365 unique DATE values spanning the full year, with December dates (e.g. 2023-12-21, 2023-12-22, 2023-12-26, 2023-12-28) each showing all 10 stations reporting (count=10), i.e. data extends through December with full, non-intermittent coverage"
case_06,baseline_plus,n_temp,violated,violated,span,TEMP range -10.0 to 85.0
case_06,baseline_plus,n_prcp,violated,violated,span,"PRCP range 0.0 to 99.99 (99.99 also doubles as the GSOD missing-value flag, appearing 574 times)"
case_06,baseline_plus,n_sentinel,holds,holds,fuzzy,"WDSP max = 999.9 (consistent with missing-value encoding); DEWP max = 9999.9 (72 occurrences of 9999.9), SLP max = 9999.9 (1026 occurrences), MIN max = 9999.9 — confirming the described pattern"
case_07,agent,a_rows,holds,holds,span,"row_count=32561, expected=32561"
case_07,agent,a_prov,unverifiable,unverifiable,span,
case_07,agent,a_age,violated,violated,span,"min=17, max=121"
case_07,agent,a_sex,violated,violated,span,"unique values: ['Female', 'Male', 'Unknown']"
case_07,agent,a_race,holds,holds,span,"5 categories: ['Amer-Indian-Eskimo', 'Asian-Pac-Islander', 'Black', 'Other', 'White']"
case_07,agent,a_income,holds,holds,span,"unique_values=['<=50K', '>50K']"
case_07,agent,a_phantom,violated,violated,span,missing-column
case_07,agent,a_hours,violated,violated,span,"min=1, max=99"
case_07,agent,a_nulls,holds,unverifiable,span,
case_07,agent,a_mean_age,holds,holds,span,mean age = 38.5865
case_07,baseline,a_rows,holds,unverifiable,span,
case_07,baseline,a_prov,unverifiable,unverifiable,span,
case_07,baseline,a_age,violated,unverifiable,span,
case_07,baseline,a_sex,violated,holds,span,"all sampled sex values are either 'Male' or 'Female', no other values observed"
case_07,baseline,a_race,holds,unverifiable,span,
case_07,baseline,a_income,holds,holds,span,all sampled income values are exactly '<=50K' or '>50K'
case_07,baseline,a_phantom,violated,violated,span,"no zip_code column exists; the schema's 15 columns are age, workclass, fnlwgt, education, education_num, marital_status, occupation, relationship, race, sex, capital_gain, capital_loss, hours_per_week, native_country, income"
case_07,baseline,a_hours,violated,unverifiable,span,
case_07,baseline,a_nulls,holds,holds,span,"all 50 sample rows have all 15 fields populated; missing entries (e.g. workclass, occupation, native_country) appear as literal '?' rather than blank"
case_07,baseline,a_mean_age,holds,unverifiable,span,
case_07,baseline_plus,a_rows,holds,holds,span,32561 rows (count=32561 across all columns)
case_07,baseline_plus,a_prov,unverifiable,unverifiable,span,
case_07,baseline_plus,a_age,violated,violated,span,"17 to 121 (min=17.0, max=121.0)"
case_07,baseline_plus,a_sex,violated,violated,span,"three values: Male (21787), Female (10769), Unknown (5)"
case_07,baseline_plus,a_race,holds,holds,span,"5 unique values (White, Black, Asian-Pac-Islander, Amer-Indian-Eskimo, Other)"
case_07,baseline_plus,a_income,holds,holds,span,"2 unique values: <=50K (24720), >50K (7841)"
case_07,baseline_plus,a_phantom,violated,violated,span,"no zip_code column present; 15 columns are age, workclass, fnlwgt, education, education_num, marital_status, occupation, relationship, race, sex, capital_gain, capital_loss, hours_per_week, native_country, income"
case_07,baseline_plus,a_hours,violated,violated,span,"1 to 99 (min=1.0, max=99.0)"
case_07,baseline_plus,a_nulls,holds,holds,span,"all columns show count=32561 (no nulls); '?' appears in workclass (1836), occupation (1843), native_country (583)"
case_07,baseline_plus,a_mean_age,holds,holds,span,mean age = 38.586530 ≈ 38.6
case_08,agent,p_prov,unverifiable,unverifiable,span,
case_08,agent,p_rows,violated,violated,span,row_count=353
case_08,agent,p_species,holds,holds,span,"species values: Adelie, Chinstrap, Gentoo"
case_08,agent,p_islands,holds,holds,span,"islands found: Biscoe, Dream, Torgersen"
case_08,agent,p_year,holds,holds,span,"min_year=2007, max_year=2009"
case_08,agent,p_mass,holds,holds,span,"min=2700.0, max=6300.0"
case_08,agent,p_bill,violated,violated,span,mean=43.7954
case_08,agent,p_sex_nulls,violated,violated,span,17 missing sex values
case_08,baseline,p_prov,unverifiable,unverifiable,span,
case_08,baseline,p_rows,violated,holds,span,344 rows (species counts 152 Adelie + 68 Chinstrap + 124 Gentoo = 344)
case_08,baseline,p_species,holds,holds,span,"species column contains exactly Adelie, Chinstrap, Gentoo"
case_08,baseline,p_islands,holds,holds,span,"island column contains exactly Biscoe, Dream, Torgersen"
case_08,baseline,p_year,holds,holds,span,year column (int64) ranges 2007-2009
case_08,baseline,p_mass,holds,holds,span,"min body_mass_g = 2700, max = 6300"
case_08,baseline,p_bill,violated,violated,span,mean bill_length_mm ≈ 43.9 mm
case_08,baseline,p_sex_nulls,violated,holds,span,"sex column has 11 missing entries (object dtype, blanks observed e.g. rows 9-12, 47)"
case_08,baseline_plus,p_prov,unverifiable,unverifiable,span,
case_08,baseline_plus,p_rows,violated,violated,span,353 rows (species/island/year columns have 353 non-null entries)
case_08,baseline_plus,p_species,holds,holds,span,"3 species present: Adelie (161), Gentoo (124), Chinstrap (68)"
case_08,baseline_plus,p_islands,holds,holds,span,"3 islands present: Biscoe (168), Dream (124), Torgersen (61)"
case_08,baseline_plus,p_year,holds,holds,span,"year column min=2007, max=2009"
case_08,baseline_plus,p_mass,holds,holds,span,"body_mass_g min=2700, max=6300"
case_08,baseline_plus,p_bill,violated,violated,span,mean bill_length_mm ≈ 43.8 mm
case_08,baseline_plus,p_sex_nulls,violated,violated,span,"336 of 353 non-null, i.e. 17 missing"
case_09,agent,w_prov,unverifiable,unverifiable,fuzzy,
case_09,agent,w_rows,holds,holds,span,row_count=1599
case_09,agent,w_quality,violated,violated,span,"min=3, max=8"
case_09,agent,w_ph,holds,holds,span,"min=2.74, max=4.01, expected range=[2.74, 4.01]"
case_09,agent,w_alcohol,violated,violated,span,"min=8.4, max=19.5"
case_09,agent,w_nonulls,violated,violated,span,6 missing values out of 19188 cells
case_09,agent,w_mean,holds,holds,span,mean=5.6360
case_09,baseline,w_prov,unverifiable,unverifiable,fuzzy,
case_09,baseline,w_rows,holds,holds,span,"1,599 rows (data matches the well-known UCI/Cortez red wine quality dataset, confirmed 1,599 instances)"
case_09,baseline,w_quality,violated,violated,span,quality range is 3 to 8 (the dataset contains 18 rows with quality=8); observed max in card's stated range is understated
case_09,baseline,w_ph,holds,holds,span,"pH range 2.74–4.01, consistent with sampled values and known dataset stats"
case_09,baseline,w_alcohol,violated,holds,span,"alcohol range 8.4–14.9, consistent with sampled values and known dataset stats"
case_09,baseline,w_nonulls,violated,holds,span,"all 12 columns fully populated with numeric dtypes (float64/int64), no nulls observed"
case_09,baseline,w_mean,holds,holds,span,"mean quality ≈ 5.64, rounds to 5.6"
case_09,baseline_plus,w_prov,unverifiable,unverifiable,fuzzy,
case_09,baseline_plus,w_rows,holds,holds,span,1599 rows (count=1599 across all non-alcohol columns)
case_09,baseline_plus,w_quality,violated,violated,span,"3 to 8 (max quality = 8, with 18 rows at quality=8)"
case_09,baseline_plus,w_ph,holds,holds,span,"min pH = 2.74, max pH = 4.01"
case_09,baseline_plus,w_alcohol,violated,violated,span,"min alcohol = 8.4, max alcohol = 19.5"
case_09,baseline_plus,w_nonulls,violated,violated,span,"alcohol column has count=1593 vs 1599 total rows, indicating 6 missing values"
case_09,baseline_plus,w_mean,holds,holds,span,mean quality = 5.636023 ≈ 5.6
case_10,agent,r_prov,unverifiable,unverifiable,span,
case_10,agent,r_rows,violated,violated,span,row_count=40000
case_10,agent,r_dates,holds,holds,span,"min=2010-12-01 08:26:00, max=2010-12-21 13:06:00, out_of_range_count=0"
case_10,agent,r_qty,holds,holds,span,"min=-9360, max=2880"
case_10,agent,r_countries,holds,unverifiable,span,
case_10,agent,r_phantom,violated,violated,span,missing-column
case_10,agent,r_cust_nulls,holds,holds,span,34.97% null (13989/40000 rows missing customer_id)
case_10,agent,r_desc_nulls,violated,violated,span,153 rows with missing description
case_10,baseline,r_prov,unverifiable,unverifiable,span,
case_10,baseline,r_rows,violated,unverifiable,span,
case_10,baseline,r_dates,holds,unverifiable,span,
case_10,baseline,r_qty,holds,unverifiable,fuzzy,
case_10,baseline,r_countries,holds,unverifiable,span,
case_10,baseline,r_phantom,violated,violated,span,"The listed columns are: invoice, stockcode, description, quantity, invoicedate, price, customer_id, country — no warehouse_id column is present."
case_10,baseline,r_cust_nulls,holds,unverifiable,span,
case_10,baseline,r_desc_nulls,violated,unverifiable,span,
case_10,baseline_plus,r_prov,unverifiable,unverifiable,span,
case_10,baseline_plus,r_rows,violated,violated,span,"40,000 rows (invoice column count = 40000)"
case_10,baseline_plus,r_dates,holds,unverifiable,span,
case_10,baseline_plus,r_qty,holds,holds,span,"min -9360.0, max 2880.0"
case_10,baseline_plus,r_countries,holds,holds,span,24 unique values in country column
case_10,baseline_plus,r_phantom,violated,violated,span,"no warehouse_id column present; columns are invoice, stockcode, description, quantity, invoicedate, price, customer_id, country"
case_10,baseline_plus,r_cust_nulls,holds,holds,span,13989/40000 missing = 34.97%
case_10,baseline_plus,r_desc_nulls,violated,violated,span,153 missing (40000 - 39847)
case_11,agent,t_prov,unverifiable,unverifiable,span,
case_11,agent,t_rows,violated,violated,fuzzy,row_count=50000
case_11,agent,t_pass,holds,holds,span,"min=0.0, max=6.0"
case_11,agent,t_pay,holds,holds,span,"unique values: [1, 2, 3, 4]"
case_11,agent,t_flag,violated,violated,span,"unique values: ['N', 'U', 'Y']"
case_11,agent,t_fare,holds,holds,span,mean total_amount = 29.1742
case_11,agent,t_dates,holds,holds,span,"min=2022-10-24 17:37:47, max=2023-01-01 23:19:19"
case_11,agent,t_min_total,violated,violated,span,min total_amount = -351.0
case_11,baseline,t_prov,unverifiable,unverifiable,span,
case_11,baseline,t_rows,violated,unverifiable,fuzzy,
case_11,baseline,t_pass,holds,holds,span,"sample passenger_count values range 0–5 (min 0 at row 4, max 5 at rows 41–43), within claimed bounds"
case_11,baseline,t_pay,holds,holds,span,"sample payment_type values observed: {1,2,4}, all within 1–4"
case_11,baseline,t_flag,violated,holds,span,all 50 sampled rows have store_and_fwd_flag = 'N'; dtype object/string consistent with a categorical N/Y flag
case_11,baseline,t_fare,holds,unverifiable,span,
case_11,baseline,t_dates,holds,violated,span,the file's first 50 rows (its head) span only 2023-01-01 00:03:36–00:58:49; no October 2022 timestamps appear
case_11,baseline,t_min_total,violated,unverifiable,span,
case_11,baseline_plus,t_prov,unverifiable,unverifiable,span,
case_11,baseline_plus,t_rows,violated,violated,fuzzy,"50,000 rows (count=50000 across all columns in the summary statistics)"
case_11,baseline_plus,t_pass,holds,holds,span,"passenger_count min=0.0, max=6.0"
case_11,baseline_plus,t_pay,holds,holds,span,"observed payment_type values: 1, 2, 3, 4"
case_11,baseline_plus,t_flag,violated,violated,span,"three distinct values present: N (49,735), Y (259), U (6)"
case_11,baseline_plus,t_fare,holds,holds,span,mean total_amount = 29.174196 ≈ $29.17
case_11,baseline_plus,t_dates,holds,holds,span,"min tpep_pickup_datetime = 2022-10-24 17:37:47, max = 2023-01-01 23:19:19"
case_11,baseline_plus,t_min_total,violated,violated,span,min total_amount = -$351.00
case_12,agent,s_prov,unverifiable,unverifiable,span,
case_12,agent,s_rows,holds,holds,span,"row_count=1000000, expected=1000000"
case_12,agent,s_sorted,holds,holds,span,"monotonic_increasing=True, unparseable_ts=0"
case_12,agent,s_ts,holds,holds,span,"min=2024-01-01 00:00:00, max=2024-12-31 23:59:59"
case_12,agent,s_amount,holds,holds,span,"min=5.0, max=500.0"
case_12,agent,s_status,holds,holds,span,"values=DELIVERED, PLACED, RETURNED, SHIPPED"
case_12,agent,s_channel,holds,holds,span,"unique values: ['app', 'express', 'web']"
case_12,agent,s_pattern,violated,violated,span,382464/382637 non-empty coupon_id values match pattern; 173 invalid
case_12,agent,s_share,violated,violated,span,14.20% of 1000000 orders pair coupon with express channel
case_12,baseline,s_prov,unverifiable,unverifiable,span,
case_12,baseline,s_rows,holds,unverifiable,span,
case_12,baseline,s_sorted,holds,holds,span,the 50 sampled rows have strictly increasing ts values (2024-01-01 00:00:00 through 00:30:06)
case_12,baseline,s_ts,holds,unverifiable,span,
case_12,baseline,s_amount,holds,holds,span,"sampled amounts range from 5.0 to 500.0, matching the claimed bounds exactly"
case_12,baseline,s_status,holds,holds,span,only these four status values appear among the sampled rows
case_12,baseline,s_channel,holds,holds,span,only these three channel values appear among the sampled rows
case_12,baseline,s_pattern,violated,holds,span,all 23 non-empty coupon_id values in the sample match 'CP-' followed by 5 digits
case_12,baseline,s_share,violated,violated,span,"11 of 50 sampled orders (22%) are express channel with a non-empty coupon_id, more than double the claimed rate"
case_12,baseline_plus,s_prov,unverifiable,unverifiable,span,
case_12,baseline_plus,s_rows,holds,holds,span,"1,000,000 rows (order_id count = 1000000)"
case_12,baseline_plus,s_sorted,holds,holds,span,first 50 rows show strictly increasing ts values from 2024-01-01 00:00:00 onward
case_12,baseline_plus,s_ts,holds,holds,span,"min ts = 2024-01-01 00:00:00, max ts = 2024-12-31 23:59:59"
case_12,baseline_plus,s_amount,holds,holds,span,"min amount = 5.0, max amount = 500.0"
case_12,baseline_plus,s_status,holds,holds,span,"unique=4; value counts show exactly DELIVERED, SHIPPED, PLACED, RETURNED summing to 1,000,000"
case_12,baseline_plus,s_channel,holds,holds,span,"unique=3; value counts show web=500846, app=299095, express=200059 summing to 1,000,000"
case_12,baseline_plus,s_pattern,violated,holds,span,"sampled rows and top value counts (e.g. CP-00460, CP-01052, CP-01962) all follow CP- plus 5 digits"
case_12,baseline_plus,s_share,violated,unverifiable,span,
